,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,potted plant,sheep,sofa,train,tv/monitor,red,n_red,yellow,n_yellow,green,n_green,cyan,n_cyan,blue,n_blue,magenta,n_magenta,emotion
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.922884253,7,0.073925919,8,0.0029062059999999997,1,0.000257838,3,0.0,0,2.58e-05,2,joy
1,0.999615705,0.0,0.0,0.000384295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.903284339,9,1.1900000000000001e-05,1,0.0031535990000000004,1,4.7499999999999996e-05,1,0.00011489200000000001,2,0.093387742,7,joy
2,0.9954347790000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.340609719,6,0.083752865,4,0.523868168,7,0.050700120999999994,10,0.0,0,0.0010691280000000001,6,sadness
3,0.9977298370000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002270163,0,0.0,0.0,0.0,0,0.958916167,10,0.0,0,0.005760369,3,0.0031571579999999998,1,0.0014069570000000001,5,0.030759349,7,anger
4,0.996622639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.428760254,3,0.000987808,3,0.224839128,5,0.305411304,5,0.008560999,4,0.031440506,3,sadness
5,0.730526757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003893517,0.0,0.226112595,0.0,0.0,0.039467131,0.0,0.0,0,0.0,0.0,0.0,0,0.6254300979999999,9,0.357518788,4,0.0031917779999999997,1,0.0,0,0.004544323,3,0.009315013,4,disgust
6,0.971355538,0.0,0.0,0.000762005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018544432,0.009338025,0.0,0.0,0,0.0,0.0,0.0,0,0.834437086,9,0.0057566019999999996,2,0.053291862,4,0.09869350800000001,7,2.08e-05,1,0.007800161,6,surprise
7,0.98080782,0.0,0.0,0.0,0.016949031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.002243149,0,0.669361312,9,2.15e-05,1,0.177660245,5,0.000494496,1,0.027813611000000002,5,0.124648836,5,ambiguous
8,0.861150794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138849206,0,0.0,0.0,0.0,0,1.0,7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,trust
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9999492390000001,5,0.0,0,0.0,0,0.0,0,0.0,0,5.08e-05,1,trust
